docnum,topicnum,text,TopicLabel
0,10,"Für DNB heißt mehr Jahre mehr Bücher. Mehr Bücher gibt es, mehr müssen aufbewahrt werden. Vielleicht wird alles ganz anders aufbewahrt, vielleicht nur noch e-books.",Bewahren Verknüpfen
1,5,"Bibliotheken der Zukunft sollten ""alles"" anbieten. Es wird immer Menschen geben, die Bücher in Papier in der Hand halten möchten. E-Book-Reader sind platzsparend und eine gute Ergänzung. Interaktive Medien könnten interessant sein. Weiterhin auch gerne CDs, DVDs, Hörbücher. Schöne Lesebereiche können locken.",Treffpunkt Bibliothek Museum
2,5,Nach wie vor starke Partnerin der ZDB,Treffpunkt Bibliothek Museum
3,9,"Fliegende Bücher, so nach Art Sushi Bar",Digitalisierung
4,6,"Ein neues Medium, ein paar Erweiterungen, neue Aufbewahrungsmöglichkeiten",Buch Galaxie
5,8,In Kooperation und in Zusammenarbeit mit anderen Bibliotheken - auch ortsungebunden - Zugänglichkeit zu allen Informationen bieten.,offener Zugang
6,7,"Bitte eröffnet einen dritten Standort (z.B. in Hamburg). Eine VR, um sich in der DNB umzuschauen wäre toll, dann müsste kein dritter Standort eröffnet werden.",Vergangenheit
7,6,"Eine Bibliothek - einladend, ein Ort zum Verweilen - Bilrdschirme: ja, für die schnelle Recherche, Bücher ""in Papier"" zum Stöbern, Lesen und Genießen. Ein Ort der ""Gelehrsamkeit"", der Kommunikation, des Meinungsaustauschs... schönes Design... ein Ort für ""alle"", aber nicht für ""alles"".",Buch Galaxie
8,10,"DNB in zentraler (auch Dienstleistungs-)Funktion für das Bibliothekswesen auf Bundesebene (u.a. Verknüpfung von Bibltioheken unterschiedlicher Trägerschaft, z.B. wissenschaftliche Bibliotheken / oft Land und vor allem öffentliche Bibliotheken meist Kommune)",Bewahren Verknüpfen
9,6,Fokus auf Inhalts-/Sacherschließung und Metadaten -> wesentlicher Mehrwert von Bibliotheken ist >Zugänglichkeit von Informationen (Auffindbarkeit!),Buch Galaxie
10,4,Gaming Lab - Aufbrechen der alten Muster - Tiere in Bibliothek - Kooperation mit Schulen,Gedächtnis
11,9,"Moderneres, eigenverantwortliches Arbeiten mit weniger ""Bürokratie"". Weniger Hierarchie-Ebenen, klarere Kommunikation auf Augenhöhe :)",Digitalisierung
12,10,Bücher haben eine intigrierte Lampe bzw. leuchtende Seiten :),Bewahren Verknüpfen
13,5,"Bilderbücher in Lebensgrösse, jede einzelne Seite aufgestellt, sodass man durch die Geschichte durchlaufen kann. Geht bestimmt auch mit AR.",Treffpunkt Bibliothek Museum
14,6,Roboter die Bücher bringen,Buch Galaxie
15,8,Bücher sind unendlich oft da,offener Zugang
16,4,Alle Bücher digital & in allen Sprachen,Gedächtnis
17,4,Ganz viele Bücher,Gedächtnis
18,4,Die Bibliothek der Zukunft,Gedächtnis
