docnum,topicnum,text,TopicLabel
0,0,"Die Bibliothek der Zukunft ist eine Bibliothek, die für alle Menschen offen ist und für jeden Menschen ein passendes Medium hat. Sie befindet sich in einem großen Glasgebäude und hat große Lesesäle. Die Open-Access Bewegung hat sich durchgesetzt, sodass der Bestand der Bibliothek sich stark vergrößert. Die Bibliothek der Zukunft hat viele Besucher. Jeder zweite geht regelmäßig und gern in die Bibliothek. ",Bestand Digitalisierung
1,0,"Bisschen mehr Bepflanzung, kostenloses W-LAN",Bestand Digitalisierung
2,8,"Man gibt in Tabletts ein, was für ein Buch man lesen möchte. Danach kommt es automatisch zu einem. (Bücher-Laufband)",Geschichte Museum Buch
3,1,Bücher müssen bleiben!,Vorbild
4,6,Das es Bibliotheken noch 111 Jahre gibt!,Buch Digitalisierung
5,3,"Bitte alles sammeln und aktiv und kreativ Beziehungen zwischen Publikationen herstellen und zugänglich machen. Ein Wissensnetz - um den publizistischen Gedächtnis so umzugehen, dass Erkenntnisse gewonnen werden können. Für die Zukunft unser Sprache und Kultur ",Gedächtnis Wissensnetz
6,8,"Mehr Privatsphäre, z.B. durch Bücherregale (und mehr Digitalisierung, aber ich nutze die Bibliothek eher zum Lernen)",Geschichte Museum Buch
7,2,Bibliotheken sollen sichtbare Orte sein und an gesellschaftlichen Diskurs teilnehmen. Kulturinstitutionen und Bildungseinrichtungen bilden das Fundament für unsere Demokratie. ,Begegnungsstätte
8,7,-digitale Abrufbarkeit historischer Dokumente ,kinderfreundlich
9,1,-Vereinfachung der Vereinfachung der Bearbeitung von Dokumenten bei verfassungsfreundlichen Texten,Vorbild
10,5,Frieden!,Frieden
11,6,Das auch indizierte Bücher dann jeden wieder zu lesen gibt und das jeden Buch zur Verfügung steht und schallgeschützte Leseecken gibt. ,Buch Digitalisierung
12,0,"Ich wünsche mir ein Portal wie Gallia der Bibliothek historische, in den man idealer weise alles digitalisiert vorfinden kann. ",Bestand Digitalisierung
13,7,Vielleicht machen Sie einen Doku-Film über das Jubiläum und 111 Kinder sagen ihre wünsche für die Kinder im Jahr (2023+111=2134),kinderfreundlich
14,1,"Filmangebote, begrünte Leseräume, interaktive Räume zum lernen",Vorbild
15,8,"Museum als Ort der Begegnung, des Diskurses und des Wissensaustausches; diverse Perspektiven und barrierefreie Begleitangebote im DBSM.",Geschichte Museum Buch
16,6,"Stationen für Kinder mit Unterhaltungsquizzen (z.B. zu Computern), W-Lan in der Bibliothek, Tanzveranstaltungen mehrmals im Jahr (für verschiedene Stilrichtungen) ",Buch Digitalisierung
17,1,"-freie Reihen, groß, hell, offen, eine zentrale Farke",Vorbild
